date,week,year,carrier,route,buses,passengers,date_parsed,month,quarter,week_of_year,day_of_year,month_name
19/4 - 23/4,Week 16,2021,Coach USA,commuter,81.0,1714.0,2021-04-19,4.0,2.0,16,109.0,April
19/4 - 23/4,Week 16,2021,Trailways,intercity,13.0,328.0,2021-04-19,4.0,2.0,16,109.0,April
19/4 - 23/4,Week 16,2021,Lakeland,commuter,14.0,313.0,2021-04-19,4.0,2.0,16,109.0,April
19/4 - 23/4,Week 16,2021,NJ Transit,commuter,2123.0,31549.0,2021-04-19,4.0,2.0,16,109.0,April
19/4 - 23/4,Week 16,2021,Martz,commuter,14.0,504.0,2021-04-19,4.0,2.0,16,109.0,April
19/4 - 23/4,Week 16,2021,Greyhound,intercity,46.0,1255.0,2021-04-19,4.0,2.0,16,109.0,April
19/4 - 23/4,Week 16,2021,Academy,commuter,36.0,710.0,2021-04-19,4.0,2.0,16,109.0,April
26/4 - 30/4,Week 17,2021,HCEE - Community,commuter,90.0,1210.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,Peter Pan/Bonanza,intercity,16.0,456.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,TransBridge,commuter,12.0,369.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,Coach USA,commuter,84.0,1793.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,Lakeland,commuter,14.0,322.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,Martz,commuter,14.0,502.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,NJ Transit,commuter,2263.0,32474.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,Greyhound,intercity,41.0,1146.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,Academy,commuter,36.0,710.0,2021-04-26,4.0,2.0,17,116.0,April
26/4 - 30/4,Week 17,2021,Trailways,intercity,13.0,324.0,2021-04-26,4.0,2.0,17,116.0,April
3/5 - 7/5,Week 18,2021,HCEE - Community,commuter,91.0,1069.0,2021-05-03,5.0,2.0,18,123.0,May
3/5 - 7/5,Week 18,2021,Academy,commuter,36.0,689.0,2021-05-03,5.0,2.0,18,123.0,May
3/5 - 7/5,Week 18,2021,Greyhound,intercity,40.0,1161.0,2021-05-03,5.0,2.0,18,123.0,May
3/5 - 7/5,Week 18,2021,Martz,commuter,14.0,518.0,2021-05-03,5.0,2.0,18,123.0,May
