date,year,month,week_of_year,sarima_forecast,rf_forecast,ensemble_forecast,date_key,month_name,quarter_name,day_of_year,is_peak_month,is_low_month
2029-07-23,2029,7,30,125022.07206887423,104915.52875,114968.80040943711,20290723,July,Q3,204,0,0
2029-07-30,2029,7,31,125209.72876768945,102938.58864285712,114074.1587052733,20290730,July,Q3,211,0,0
2029-08-06,2029,8,32,127371.58542120697,102932.44030952381,115152.0128653654,20290806,August,Q3,218,1,0
2029-08-13,2029,8,33,126950.68197632878,102927.05530952381,114938.8686429263,20290813,August,Q3,225,1,0
2029-08-20,2029,8,34,127316.94846258048,103032.86364285713,115174.90605271881,20290820,August,Q3,232,1,0
2029-08-27,2029,8,35,127879.33608264137,102961.23864285713,115420.28736274925,20290827,August,Q3,239,1,0
2029-09-03,2029,9,36,129344.7010767397,102732.35864285713,116038.52985979841,20290903,September,Q3,246,1,0
2029-09-10,2029,9,37,125276.09941331747,102892.88949999999,114084.49445665872,20290910,September,Q3,253,1,0
2029-09-17,2029,9,38,131113.8981790596,102700.24125,116907.06971452979,20290917,September,Q3,260,1,0
2029-09-24,2029,9,39,131060.711326732,102923.82208333332,116992.26670503266,20290924,September,Q3,267,1,0
2029-10-01,2029,10,40,129233.93684640598,102474.12883333332,115854.03283986964,20291001,October,Q4,274,1,0
2029-10-08,2029,10,41,130333.76449602674,102707.06208333332,116520.41328968003,20291008,October,Q4,281,1,0
2029-10-15,2029,10,42,130459.11000981621,102614.51372619046,116536.81186800334,20291015,October,Q4,288,1,0
2029-10-22,2029,10,43,132165.80566924915,102598.23039285713,117382.01803105314,20291022,October,Q4,295,1,0
2029-10-29,2029,10,44,132483.41766929027,102652.302,117567.85983464513,20291029,October,Q4,302,1,0
2029-11-05,2029,11,45,132129.26381293565,101333.15699999999,116731.21040646781,20291105,November,Q4,309,0,1
2029-11-12,2029,11,46,132790.60848030265,101169.602,116980.10524015132,20291112,November,Q4,316,0,1
2029-11-19,2029,11,47,129904.30745864255,40233.887,85069.09722932128,20291119,November,Q4,323,0,1
2029-11-26,2029,11,48,120996.78816150878,34349.567,77673.17758075439,20291126,November,Q4,330,0,1
2029-12-03,2029,12,49,127256.77716526836,69346.067,98301.42208263418,20291203,December,Q4,337,0,1
2029-12-10,2029,12,50,132637.36424011565,66679.562,99658.46312005783,20291210,December,Q4,344,0,1
2029-12-17,2029,12,51,133112.18793105162,23933.722,78522.95496552582,20291217,December,Q4,351,0,1
2029-12-24,2029,12,52,130142.11222242085,12039.115,71090.61361121043,20291224,December,Q4,358,0,1
2029-12-31,2029,12,1,130041.30964603588,95511.885,112776.59732301794,20291231,December,Q4,365,0,1
2030-01-07,2030,1,2,130177.81607046274,96189.875,113183.84553523138,20300107,January,Q1,7,0,0
2030-01-14,2030,1,3,130279.87429405809,96185.835,113232.85464702905,20300114,January,Q1,14,0,0
2030-01-21,2030,1,4,129919.58757127341,95179.185,112549.3862856367,20300121,January,Q1,21,0,0
2030-01-28,2030,1,5,130921.89802062372,95683.56,113302.72901031186,20300128,January,Q1,28,0,0
2030-02-04,2030,2,6,128582.54565225811,98039.19,113310.86782612905,20300204,February,Q1,35,0,0
2030-02-11,2030,2,7,133908.4630941652,97049.84,115479.1515470826,20300211,February,Q1,42,0,0
2030-02-18,2030,2,8,135483.9197620161,97804.095,116644.00738100805,20300218,February,Q1,49,0,0
2030-02-25,2030,2,9,137774.49967859875,99124.4,118449.44983929937,20300225,February,Q1,56,0,0
2030-03-04,2030,3,10,134960.84363016492,99821.32,117391.08181508246,20300304,March,Q1,63,0,0
2030-03-11,2030,3,11,135710.1860712913,101042.5,118376.34303564565,20300311,March,Q1,70,0,0
2030-03-18,2030,3,12,136228.71499624438,101233.53,118731.12249812219,20300318,March,Q1,77,0,0
2030-03-25,2030,3,13,136486.2873878108,101068.36,118777.3236939054,20300325,March,Q1,84,0,0
2030-04-01,2030,4,14,137989.21728373764,101684.45833333331,119836.83780853548,20300401,April,Q2,91,0,0
2030-04-08,2030,4,15,134220.17465504204,101731.03333333333,117975.60399418768,20300408,April,Q2,98,0,0
2030-04-15,2030,4,16,136062.14857306876,101242.97333333333,118652.56095320104,20300415,April,Q2,105,0,0
2030-04-22,2030,4,17,96956.85552889938,102587.84333333332,99772.34943111635,20300422,April,Q2,112,0,0
2030-04-29,2030,4,18,86148.05090844557,102857.30958333332,94502.68024588944,20300429,April,Q2,119,0,0
2030-05-06,2030,5,19,135633.10677199866,102625.96622619047,119129.53649909457,20300506,May,Q2,126,0,0
2030-05-13,2030,5,20,136999.69127647788,102637.14789285715,119818.41958466751,20300513,May,Q2,133,0,0
2030-05-20,2030,5,21,98004.59570124242,102665.52122619048,100335.05846371644,20300520,May,Q2,140,0,0
2030-05-27,2030,5,22,91895.06135837235,103818.51833333334,97856.78984585285,20300527,May,Q2,147,0,0
2030-06-03,2030,6,23,119699.79701218639,103456.8175,111578.30725609319,20300603,June,Q2,154,0,0
2030-06-10,2030,6,24,129997.87282668139,103196.2175,116597.04516334069,20300610,June,Q2,161,0,0
2030-06-17,2030,6,25,125174.17385454373,100415.785,112794.97942727187,20300617,June,Q2,168,0,0
2030-06-24,2030,6,26,127645.23833188569,99343.445,113494.34166594285,20300624,June,Q2,175,0,0
2030-07-01,2030,7,27,131753.08813311128,94274.18,113013.63406655563,20300701,July,Q3,182,0,0
2030-07-08,2030,7,28,130833.4910873848,101400.8675,116117.1792936924,20300708,July,Q3,189,0,0
2030-07-15,2030,7,29,132686.51104343263,104346.31875,118516.41489671632,20300715,July,Q3,196,0,0
2030-07-22,2030,7,30,132624.50107996553,104915.52875,118770.01491498276,20300722,July,Q3,203,0,0
2030-07-29,2030,7,31,132615.71315088283,102938.58864285712,117777.15089686998,20300729,July,Q3,210,0,0
2030-08-05,2030,8,32,133405.68958763618,102932.44030952381,118169.06494858,20300805,August,Q3,217,1,0
2030-08-12,2030,8,33,133182.3081634963,102927.05530952381,118054.68173651004,20300812,August,Q3,224,1,0
2030-08-19,2030,8,34,135209.55527868363,103032.86364285713,119121.20946077039,20300819,August,Q3,231,1,0
2030-08-26,2030,8,35,134824.19633014753,102961.23864285713,118892.71748650234,20300826,August,Q3,238,1,0
2030-09-02,2030,9,36,136493.1885710797,102732.35864285713,119612.7736069684,20300902,September,Q3,245,1,0
2030-09-09,2030,9,37,130487.07544968819,102892.88949999999,116689.98247484409,20300909,September,Q3,252,1,0
2030-09-16,2030,9,38,136009.91637508947,102700.24125,119355.07881254473,20300916,September,Q3,259,1,0
2030-09-23,2030,9,39,137798.71214888318,102923.82208333332,120361.26711610824,20300923,September,Q3,266,1,0
2030-09-30,2030,9,40,135384.39943959742,102367.3775,118875.88846979871,20300930,September,Q3,273,1,0
2030-10-07,2030,10,41,137254.92210104433,102707.06208333332,119980.99209218883,20301007,October,Q4,280,1,0
2030-10-14,2030,10,42,137908.54923757206,102614.51372619046,120261.53148188126,20301014,October,Q4,287,1,0
2030-10-21,2030,10,43,138769.49151729827,102598.23039285713,120683.8609550777,20301021,October,Q4,294,1,0
2030-10-28,2030,10,44,141276.36576901333,102652.302,121964.33388450666,20301028,October,Q4,301,1,0
2030-11-04,2030,11,45,137974.10597040298,101333.15699999999,119653.63148520148,20301104,November,Q4,308,0,1
2030-11-11,2030,11,46,140984.52616076847,101169.602,121077.06408038424,20301111,November,Q4,315,0,1
2030-11-18,2030,11,47,137750.22725166215,40233.887,88992.05712583108,20301118,November,Q4,322,0,1
2030-11-25,2030,11,48,134713.42154181725,34349.567,84531.49427090863,20301125,November,Q4,329,0,1
2030-12-02,2030,12,49,131533.29447807357,69346.067,100439.68073903679,20301202,December,Q4,336,0,1
2030-12-09,2030,12,50,139260.44315929187,66679.562,102970.00257964594,20301209,December,Q4,343,0,1
2030-12-16,2030,12,51,139263.00965518988,23933.722,81598.36582759494,20301216,December,Q4,350,0,1
2030-12-23,2030,12,52,137923.38844501702,12039.115,74981.2517225085,20301223,December,Q4,357,0,1
